Transaction;Tanggal;Items
125000742;Januari 06, 2025;BEJO JAHE MERAH HERBAL 12 SC, FATIGON SPIRIT BOX 10X6S
125000745;Januari 06, 2025;WOODS EXPECTORANT 60 ML, WOODS EXPECTORANT 100 ML
125000755;Januari 06, 2025;CEREBROFORT GOLD ORANGE 200 ML, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, WOODS LOZENGES 6'S
125000769;Januari 06, 2025;CEREBROFORT M.G. AGGR SCH, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC ORANGE 30TAB, WOODS LOZENGES CHERRY 6'S, WOODS LOZENGES 6'S, WOODS LOZ HONEY LEMON
125000770;Januari 06, 2025;PUYER OSK BT NO.16/BOX, PROCOLD FLU PE
125000772;Januari 06, 2025;KOMIX OBH PE, PROMAG SUSPENSI BTL 60 ML, PROMAG TABLET
125000786;Januari 06, 2025;CEREBROFORT GOLD ORANGE 100 ML, WOODS EXPECTORANT 60 ML, MIXAGRIP FLU KAPLET 25X4, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125000793;Januari 06, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD ORANGE 200 ML, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ORANGE 30TAB
125000803;Januari 06, 2025;WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, WOODS EXPECTORANT 100 ML
125000805;Januari 06, 2025;KOMIX HERBAL 15 ML, KOMIX OBH PE, CEREBROFORT M.G. AGGR SCH, CEREBROFORT MG MGA SCH, CEREBROFORT MG STRAW SCH
125000808;Januari 06, 2025;KOMIX OBH PE, H2 HEMORID 36 KAPS
125000809;Januari 06, 2025;CEREBROVIT XCEL 10 CAPS, WOODS NATURALS SYR 60 ML, MIXAGRIP FLU KAPLET 25X4, SAKATONIK ABC ANGGUR30TAB
125000818;Januari 06, 2025;KOMIX J.NIPIS G-FORMULA B, KOMIX OBH PE
125000839;Januari 06, 2025;KALPANAX SALEP 6G/12, PROMAG SUSPENSI BTL 60 ML, FATIGON SPIRIT BOX 10X6S, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB, SAKATONIK ABC ORANGE 30TAB
125000840;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR, WOODS COUGH SYR ATT 100ML, WOODS COUGH SYR ATT  60ML, WOODS EXPECTORANT 60 ML, WOODS EXPECTORANT 100 ML, FATIGON KAPLET 10X6S
125000842;Januari 06, 2025;CEREBROFORT GOLD ORANGE 100 ML, CEREBROFORT GOLD STRAWBERY, SAKATONIK ABC ANTARIKSA 30 TAB, SAKATONIK ABC STRAW 30TAB, SAKATONIK ABC ANGGUR30TAB
125000843;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX KRIM 10 GR, ENTROSTOP 10'S, PROMAG TABLET
125000847;Januari 06, 2025;KALPANAX K CREAM 5 GR, KALPANAX SALEP 6G/12, KALPANAX KRIM 10 GR, ENTROSTOP 10'S
